binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,sst_read_us_per_tx,sst_write_us_per_tx,sst_compaction_us,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss,disk
geo_btree,geo,btree,geo,c2,19,0.1,1,base_idx,join-n,0,1,0.2961,,,3377.2374197906115,476.045,,nan,nan,nan,nan,nan,-12880873.5,4.95,687688.0,100.0,0.0,0.0,79.86,882208522.0,0.0,0.0,0.0,0.0,0.0,42736.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,1,base_idx,join-ns,0,1,4.64,,,215.51724137931035,476.045,,,,,,,,0.95,687688.0,100.0,0.0,0.0,504.73,172170.0,0.0,0.0,0.0,0.0,0.0,130394.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,1,base_idx,join-nsc,0,1,89.42,,,11.183180496533215,476.045,,,,,,,,0.41,687688.0,100.0,0.0,0.0,16.71,5892.0,0.0,0.0,0.0,0.0,0.0,4105.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,1,base_idx,mixed-n,0,1,0.2427,,,4120.313143798929,476.045,,,,,,,,0.39,687688.0,100.0,0.0,0.0,14.95,5265.0,0.0,0.0,0.0,0.0,0.0,3894.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,1,base_idx,mixed-ns,0,1,4.7,,,212.7659574468085,476.045,,,,,,,,0.68,687688.0,100.0,0.0,0.0,503.68,168884.0,0.0,0.0,0.0,0.0,0.0,129875.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,1,base_idx,mixed-nsc,0,1,87.54,,,11.42334932602239,476.045,,,,,,,,0.32,687688.0,100.0,0.0,0.0,15.0,4692.0,0.0,0.0,0.0,0.0,0.0,4011.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,1,base_idx,distinct-n,0,1,0.2895,,,3454.231433506045,476.045,,,,,,,,0.22,687688.0,100.0,0.0,0.0,15.2,4935.0,0.0,0.0,0.0,0.0,0.0,3860.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,1,base_idx,distinct-ns,0,1,4.26,,,234.7417840375587,476.045,,,,,,,,0.46,687688.0,100.0,0.0,0.0,26.35,9423.0,0.0,0.0,0.0,0.0,0.0,6900.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,1,base_idx,distinct-nsc,0,1,99.58,,,10.042177144004821,476.045,,,,,,,,0.32,687688.0,100.0,0.0,0.0,15.61,5799.0,0.0,0.0,0.0,0.0,0.0,4011.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,1,base_idx,maintain,0,1,823.62,,,1.214152157548384,476.045,,,,,,,,0.74,687688.0,100.0,0.0,0.0,15.19,5358.0,0.0,0.0,0.0,0.0,0.0,3823.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,2,mat_view,join-n,0,1,0.07734,,,12929.919834497025,2100.05,,nan,nan,nan,nan,nan,-3364878.6550000003,5.21,687688.0,100.0,0.0,0.0,107.96,1079289436.0,0.0,0.0,0.0,0.0,0.0,49925.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,2,mat_view,join-ns,0,1,1.34,,,746.2686567164179,2.0,,,,,,,,2.62,687688.0,100.0,0.0,0.0,498.8,0.54,0.0,0.0,0.0,0.0,0.0,386773.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,2,mat_view,join-nsc,0,1,91.01,,,10.987803538072738,2.0,,,,,,,,0.18,687688.0,100.0,0.0,0.0,15.78,4666.0,0.0,0.0,0.0,0.0,0.0,4126.0,,,,,,,hdd
