binary,family,backend,query,cell,structure,bg,method,tx,n,tx_per_s_median,tx_per_s_iqr,bg_tx_count_median,disk
geo_btree,geo,btree,geo,c2,1,0,base_idx,join-n,1,0.2961,0.0,,hdd
geo_btree,geo,btree,geo,c2,1,0,base_idx,join-ns,1,4.64,0.0,,hdd
geo_btree,geo,btree,geo,c2,1,0,base_idx,join-nsc,1,89.42,0.0,,hdd
geo_btree,geo,btree,geo,c2,1,0,base_idx,mixed-n,1,0.2427,0.0,,hdd
geo_btree,geo,btree,geo,c2,1,0,base_idx,mixed-ns,1,4.7,0.0,,hdd
geo_btree,geo,btree,geo,c2,1,0,base_idx,mixed-nsc,1,87.54,0.0,,hdd
geo_btree,geo,btree,geo,c2,1,0,base_idx,distinct-n,1,0.2895,0.0,,hdd
geo_btree,geo,btree,geo,c2,1,0,base_idx,distinct-ns,1,4.26,0.0,,hdd
geo_btree,geo,btree,geo,c2,1,0,base_idx,distinct-nsc,1,99.58,0.0,,hdd
geo_btree,geo,btree,geo,c2,1,0,base_idx,maintain,1,823.62,0.0,,hdd
geo_btree,geo,btree,geo,c2,2,0,mat_view,join-n,1,0.07734,0.0,,hdd
geo_btree,geo,btree,geo,c2,2,0,mat_view,join-ns,1,1.34,0.0,,hdd
geo_btree,geo,btree,geo,c2,2,0,mat_view,join-nsc,1,91.01,0.0,,hdd
geo_btree,geo,btree,geo,c2,2,0,mat_view,mixed-n,1,0.1722,0.0,,hdd
geo_btree,geo,btree,geo,c2,2,0,mat_view,mixed-ns,1,3.45,0.0,,hdd
geo_btree,geo,btree,geo,c2,2,0,mat_view,mixed-nsc,1,119.19,0.0,,hdd
geo_btree,geo,btree,geo,c2,2,0,mat_view,distinct-n,1,0.04104,0.0,,hdd
geo_btree,geo,btree,geo,c2,2,0,mat_view,distinct-ns,1,1.57,0.0,,hdd
geo_btree,geo,btree,geo,c2,2,0,mat_view,distinct-nsc,1,83.71,0.0,,hdd
geo_btree,geo,btree,geo,c2,2,0,mat_view,maintain,1,73.99,0.0,,hdd
geo_btree,geo,btree,geo,c2,3,0,merged_idx,join-n,1,0.3,0.0,,hdd
geo_btree,geo,btree,geo,c2,3,0,merged_idx,join-ns,1,5.05,0.0,,hdd
geo_btree,geo,btree,geo,c2,3,0,merged_idx,join-nsc,1,160.47,0.0,,hdd
geo_btree,geo,btree,geo,c2,3,0,merged_idx,mixed-n,1,0.2462,0.0,,hdd
geo_btree,geo,btree,geo,c2,3,0,merged_idx,mixed-ns,1,3.55,0.0,,hdd
geo_btree,geo,btree,geo,c2,3,0,merged_idx,mixed-nsc,1,169.7,0.0,,hdd
geo_btree,geo,btree,geo,c2,3,0,merged_idx,distinct-n,1,0.2151,0.0,,hdd
geo_btree,geo,btree,geo,c2,3,0,merged_idx,distinct-ns,1,4.82,0.0,,hdd
geo_btree,geo,btree,geo,c2,3,0,merged_idx,distinct-nsc,1,193.55,0.0,,hdd
geo_btree,geo,btree,geo,c2,3,0,merged_idx,maintain,1,490.9,0.0,,hdd
geo_btree,geo,btree,geo,c2,4,0,hash,join-n,1,0.2605,0.0,,hdd
geo_btree,geo,btree,geo,c2,4,0,hash,join-ns,1,4.33,0.0,,hdd
geo_btree,geo,btree,geo,c2,4,0,hash,join-nsc,1,104.61,0.0,,hdd
geo_btree,geo,btree,geo,c2,4,0,hash,mixed-n,1,0.2182,0.0,,hdd
geo_btree,geo,btree,geo,c2,4,0,hash,mixed-ns,1,4.08,0.0,,hdd
geo_btree,geo,btree,geo,c2,4,0,hash,mixed-nsc,1,93.66,0.0,,hdd
geo_btree,geo,btree,geo,c2,4,0,hash,distinct-n,1,0.1685,0.0,,hdd
geo_btree,geo,btree,geo,c2,4,0,hash,distinct-ns,1,5.51,0.0,,hdd
geo_btree,geo,btree,geo,c2,4,0,hash,distinct-nsc,1,112.72,0.0,,hdd
geo_btree,geo,btree,geo,c2,4,0,hash,maintain,1,834.12,0.0,,hdd
geo_lsm,geo,lsm,geo,c2,1,0,base_idx,join-n,3,9.5,0.8449999999999989,,hdd
geo_lsm,geo,lsm,geo,c2,1,0,base_idx,join-ns,3,55.29,14.185000000000002,,hdd
geo_lsm,geo,lsm,geo,c2,1,0,base_idx,join-nsc,3,102.49,28.67,,hdd
geo_lsm,geo,lsm,geo,c2,1,0,base_idx,mixed-n,3,12.41,1.1850000000000005,,hdd
geo_lsm,geo,lsm,geo,c2,1,0,base_idx,mixed-ns,3,60.58,12.165,,hdd
geo_lsm,geo,lsm,geo,c2,1,0,base_idx,mixed-nsc,3,112.51,29.36,,hdd
geo_lsm,geo,lsm,geo,c2,1,0,base_idx,distinct-n,3,12.18,0.6549999999999994,,hdd
