binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,sst_read_us_per_tx,sst_write_us_per_tx,sst_compaction_us,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss
geo_lsm,geo,lsm,geo,c1,206,0.4,1,base_idx,join-ns,2,1,13.18,,,75.87253414264036,1807.58,4285645c,18921649.5,,,,,19.86,,,,,,,,,,,,,,136704.13,0.0,0.0,,,
geo_lsm,geo,lsm,geo,c1,206,0.4,1,base_idx,join-nsc,2,1,63.35,,,15.785319652722967,0.0,4285645c,929044.0,,,,,4.79,,,,,,,,,,,,,,30.0,800.31,0.0,,,
geo_lsm,geo,lsm,geo,c1,206,0.4,1,base_idx,mixed-ns,2,1,14.27,,,70.0770847932726,0.0,4285645c,15032910.0,,,,,17.32,,,,,,,,,,,,,,127.0,923.38,0.0,,,
geo_lsm,geo,lsm,geo,c1,206,0.4,1,base_idx,mixed-nsc,2,1,71.26,,,14.033118158854897,0.0,4285645c,808503.5,,,,,4.67,,,,,,,,,,,,,,27.0,401.48,0.0,,,
geo_lsm,geo,lsm,geo,c1,206,0.4,1,base_idx,distinct-ns,2,1,14.56,,,68.68131868131869,0.0,4285645c,15385997.5,,,,,18.0,,,,,,,,,,,,,,124.0,865.66,0.0,,,
geo_lsm,geo,lsm,geo,c1,206,0.4,1,base_idx,distinct-nsc,2,1,73.93,,,13.526308670363857,0.0,4285645c,814776.5,,,,,4.88,,,,,,,,,,,,,,26.0,393.38,0.0,,,
geo_lsm,geo,lsm,geo,c1,206,0.4,1,base_idx,maintain,2,1,64.0,,,15.625,0.0,4285645c,22549.31,,,,,22430.665,,,,,,,,,,,,,,93.33,0.05631,8.32,,,
geo_lsm,geo,lsm,geo,c1,206,0.4,2,mat_view,join-ns,2,1,12.7,,,78.74015748031496,4963.71,4285645c,15543559.5,,,,,15.18,,,,,,,,,,,,,,145354.09,0.0,0.0,,,
geo_lsm,geo,lsm,geo,c1,206,0.4,2,mat_view,join-nsc,2,1,59.55,,,16.79261125104954,0.0,4285645c,494345.5,,,,,2.49,,,,,,,,,,,,,,33.0,74.64,0.0,,,
geo_lsm,geo,lsm,geo,c1,206,0.4,2,mat_view,mixed-ns,2,1,23.71,,,42.17629692113032,0.0,4285645c,11485430.5,,,,,19.38,,,,,,,,,,,,,,76.0,138.42,0.0,,,
