binary,cell,structure,cpu_llc_miss_per_tx,bm_rounds,dt_struct_split,sst_read_us_per_tx,sst_compaction_us,cpu_cycles_per_tx,disk
q3_btree,c0,1,6219841.625,172075.0,0.0,,,20577117422.64,hdd
q3_btree,c0,2,2967820.355,196431.0,0.0,,,13713855204.75,hdd
q3_btree,c0,3,3352346.595,209150.0,0.0,,,14011634618.775,hdd
q3_btree,c0,4,13454550.595,207904.0,0.0,,,34600672536.655,hdd
q3_btree,c1,1,1374458.38,171038.0,0.0,,,8263728778.469999,hdd
q3_btree,c1,2,958632.125,100625.0,0.0,,,5864187379.64,hdd
q3_btree,c1,3,953975.305,96343.0,0.0,,,5960881436.705,hdd
q3_btree,c1,4,1761376.92,111366.0,0.0,,,13415007602.77,hdd
q3_btree,c3,1,1509369.445,240153.0,0.0,,,20616923734.269997,hdd
q3_btree,c3,2,1232324.955,184352.0,0.0,,,13916934042.215,hdd
q3_btree,c3,3,1208758.35,220471.0,0.0,,,14249418314.685,hdd
q3_btree,c3,4,3626046.37,196910.0,0.0,,,34120614045.21,hdd
q3_lsm,c0,1,,,,26800067.0,556654403.0,22373570649.0,hdd
q3_lsm,c0,2,,,,23176698.5,556614311.0,10402130226.5,hdd
q3_lsm,c0,3,,,,19660539.0,635641598.0,11498196467.0,hdd
q3_lsm,c0,4,,,,373793702.0,556642209.0,49353048681.0,hdd
q3_lsm,c1,1,,,,6578042.67,216226504.0,8677693309.0,hdd
q3_lsm,c1,2,,,,6252730.75,216180960.0,3766704307.0,hdd
q3_lsm,c1,3,,,,7933212.67,246891043.0,4766340409.0,hdd
q3_lsm,c1,4,,,,109036631.0,216207432.0,18198763587.5,hdd
q3_lsm,c3,1,,,,17888062.0,556492553.0,21421386469.5,hdd
q3_lsm,c3,2,,,,20957237.5,556549082.0,9803009157.0,hdd
q3_lsm,c3,3,,,,18516430.5,635623092.0,11557858332.5,hdd
q3_lsm,c3,4,,,,361755530.0,556488865.0,47784546798.5,hdd
q3i_btree,c0,1,8507290.535,272857.0,0.0,,,27689810316.245003,hdd
q3i_btree,c0,2,3085009.03,241151.0,0.0,,,14181070148.555,hdd
q3i_btree,c0,3,3482090.0149999997,249233.0,0.0,,,15878970416.14,hdd
q3i_btree,c0,4,24654993.47,197762.0,0.0,,,66578779832.065,hdd
q3i_btree,c1,1,1618606.105,169007.0,0.0,,,11186269077.185,hdd
