binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha
geo_lsm,geo,lsm,geo,c1,206,0.4,1,base_idx,join-ns,2,1,9.29,,,107.64262648008612,1807.58,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,1,base_idx,join-nsc,2,1,21.39,,,46.75081813931744,37.19,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,1,base_idx,mixed-ns,2,1,7.1,,,140.84507042253523,442.17,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,1,base_idx,mixed-nsc,2,1,13.46,,,74.29420505200594,808.77,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,1,base_idx,distinct-ns,2,1,4.37,,,228.83295194508008,70.41,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,1,base_idx,distinct-nsc,2,1,4.94,,,202.42914979757083,453.02,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,1,base_idx,maintain,2,1,8.0,,,125.0,0.0,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,2,mat_view,join-ns,2,1,14.65,,,68.25938566552901,4972.64,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,2,mat_view,join-nsc,2,1,76.08,,,13.144058885383807,0.0,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,2,mat_view,mixed-ns,2,1,24.53,,,40.76640847941296,0.0,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,2,mat_view,mixed-nsc,2,1,81.3,,,12.300123001230013,0.0,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,2,mat_view,distinct-ns,2,1,6.51,,,153.60983102918587,0.0,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,2,mat_view,distinct-nsc,2,1,69.92,,,14.302059496567505,0.0,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,2,mat_view,maintain,2,1,332.83,,,3.0045368506444734,0.0,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,3,merged_idx,join-ns,2,1,14.93,,,66.97923643670462,1806.48,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,3,merged_idx,join-nsc,2,1,17.04,,,58.68544600938967,811.45,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,3,merged_idx,mixed-ns,2,1,5.75,,,173.91304347826087,714.59,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,3,merged_idx,mixed-nsc,2,1,15.22,,,65.7030223390276,536.85,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,3,merged_idx,distinct-ns,2,1,4.52,,,221.23893805309737,895.71,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,3,merged_idx,distinct-nsc,2,1,10.04,,,99.60159362549801,264.42,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,3,merged_idx,maintain,2,1,93.0,,,10.75268817204301,0.0,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,4,hash,join-ns,2,1,9.26,,,107.9913606911447,1807.58,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,4,hash,join-nsc,2,1,9.61,,,104.0582726326743,266.68,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,4,hash,mixed-ns,2,1,4.01,,,249.37655860349128,280.12,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,4,hash,mixed-nsc,2,1,19.17,,,52.16484089723526,928.19,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,4,hash,distinct-ns,2,1,4.74,,,210.97046413502107,881.87,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,4,hash,distinct-nsc,2,1,11.54,,,86.65511265164645,964.44,4285645c
geo_lsm,geo,lsm,geo,c1,206,0.4,4,hash,maintain,2,1,50.0,,,20.0,0.0,4285645c
q3_btree,vanilla,btree,q3,c0,1550,1.0,1,base_merge_join,query,2,1,0.001034,,,967117.9883945842,4282.67,4285645c
q3_btree,vanilla,btree,q3,c0,1550,1.0,2,pipeline_view,query,2,1,0.001331,,,751314.8009015778,4516.3,4285645c
q3_btree,vanilla,btree,q3,c0,1550,1.0,3,mi_col_walk,query,2,1,0.001344,,,744047.619047619,4383.06,4285645c
q3_btree,vanilla,btree,q3,c0,1550,1.0,4,base_hash_join,query,2,1,0.0005361,,,1865323.6336504384,3397.3,4285645c
q3_btree,vanilla,btree,q3,c0,1550,1.0,1,base_merge_join,query,2,2,0.001038,,,963391.1368015413,4282.67,4285645c
q3_btree,vanilla,btree,q3,c0,1550,1.0,2,pipeline_view,query,2,2,0.001331,,,751314.8009015778,4516.3,4285645c
q3_btree,vanilla,btree,q3,c0,1550,1.0,3,mi_col_walk,query,2,2,0.001346,,,742942.0505200594,4383.06,4285645c
q3_btree,vanilla,btree,q3,c0,1550,1.0,4,base_hash_join,query,2,2,0.000543,,,1841620.626151013,3397.3,4285645c
q3_btree,vanilla,btree,q3,c0,1550,1.0,1,base_merge_join,query,2,3,0.001027,,,973709.8344693282,4282.67,4285645c
q3_btree,vanilla,btree,q3,c0,1550,1.0,2,pipeline_view,query,2,3,0.001331,,,751314.8009015778,4516.3,4285645c
q3_btree,vanilla,btree,q3,c0,1550,1.0,3,mi_col_walk,query,2,3,0.001336,,,748502.994011976,4383.06,4285645c
q3_btree,vanilla,btree,q3,c0,1550,1.0,4,base_hash_join,query,2,3,0.0005427,,,1842638.6585590565,3397.3,4285645c
q3_btree,vanilla,btree,q3,c1,620,0.4,1,base_merge_join,query,2,1,0.002478,,,403551.2510088781,1715.07,4285645c
q3_btree,vanilla,btree,q3,c1,620,0.4,2,pipeline_view,query,2,1,0.002255,,,443458.9800443459,1807.85,4285645c
