binary,cell,bg,rep,tx,s2_method,s3_method,s2_tx_per_s,s3_tx_per_s,ratio,s2_cpu_cycles_per_tx,s3_cpu_cycles_per_tx,s2_cpu_llc_miss_per_tx,s3_cpu_llc_miss_per_tx,s2_bm_p2_pct,s3_bm_p2_pct,attribution_hint,disk
geo_lsm,c1,2,1,join-nsc,mat_view,merged_idx,59.55,56.47,0.9482787573467675,494345.5,616023.0,,,,,cpu_cycles_per_tx,hdd
geo_lsm,c1,2,1,mixed-ns,mat_view,merged_idx,23.71,14.26,0.6014339940953184,11485430.5,12253386.5,,,,,cpu_cycles_per_tx,hdd
geo_lsm,c1,2,1,mixed-nsc,mat_view,merged_idx,69.45,54.84,0.7896328293736501,552280.5,590602.0,,,,,cpu_cycles_per_tx,hdd
geo_lsm,c1,2,1,maintain,mat_view,merged_idx,245.33,89.0,0.36277666816125215,420582.0,16871.605,,,,,cpu_cycles_per_tx,hdd
q3_lsm,c1,2,1,query,pipeline_view,mi_col_walk,0.2124,0.153,0.7203389830508474,3737144887.5,6052692598.5,,,,,cpu_cycles_per_tx,hdd
q3_lsm,c1,2,2,query,pipeline_view,mi_col_walk,0.2409,0.1794,0.7447073474470735,3836367033.0,4766340409.0,,,,,cpu_cycles_per_tx,hdd
q3_lsm,c1,2,3,query,pipeline_view,mi_col_walk,0.2402,0.2209,0.9196502914238136,3766704307.0,4273045253.5,,,,,cpu_cycles_per_tx,hdd
q3_lsm,c3,2,1,query,pipeline_view,mi_col_walk,0.09632,0.07765,0.8061669435215947,9803009157.0,12260686854.5,,,,,cpu_cycles_per_tx,hdd
q3i_btree,c0,2,1,query,pipeline_view,mi_coli_walk,0.001264,0.001175,0.9295886075949368,14361828371.39,15949277514.785,3097082.7350000003,3661679.09,0.0,0.0,cpu_llc_miss_per_tx,hdd
q3i_btree,c0,2,2,query,pipeline_view,mi_coli_walk,0.001256,0.001163,0.9259554140127388,14167744938.195,15878970416.14,3028838.415,3482090.0149999997,0.0,0.0,cpu_llc_miss_per_tx,hdd
q3i_btree,c0,2,3,query,pipeline_view,mi_coli_walk,0.001272,0.001164,0.9150943396226416,14181070148.555,15842217089.92,3085009.03,3473051.4099999997,0.0,0.0,cpu_llc_miss_per_tx,hdd
q3i_btree,c1,2,1,query,pipeline_view,mi_coli_walk,0.003209,0.002999,0.9345590526643814,6090767933.705,6694173968.425,967226.015,1062550.895,0.0,0.0,cpu_cycles_per_tx,hdd
