binary,family,backend,query,cell,structure,bg,method,tx,n,tx_per_s_median,tx_per_s_iqr,bg_tx_count_median
q3_btree,vanilla,btree,q3,c0,1,2,base_merge_join,query,3,0.001034,5.5000000000000795e-06,
q3_btree,vanilla,btree,q3,c0,2,2,pipeline_view,query,3,0.001331,0.0,
q3_btree,vanilla,btree,q3,c0,3,2,mi_col_walk,query,3,0.001344,4.999999999999796e-06,
q3_btree,vanilla,btree,q3,c0,4,2,base_hash_join,query,3,0.0005427,3.4500000000000025e-06,
q3_btree,vanilla,btree,q3,c1,1,2,base_merge_join,query,3,0.002727,0.00015150000000000016,
q3_btree,vanilla,btree,q3,c1,2,2,pipeline_view,query,3,0.00342,0.0005915,
q3_btree,vanilla,btree,q3,c1,3,2,mi_col_walk,query,3,0.003423,2.599999999999998e-05,
q3_btree,vanilla,btree,q3,c1,4,2,base_hash_join,query,3,0.001532,2.9999999999999645e-06,
q3_btree,vanilla,btree,q3,c3,1,2,base_merge_join,query,3,0.0009821,4.30000000000005e-06,
q3_btree,vanilla,btree,q3,c3,2,2,pipeline_view,query,3,0.001326,1.0000000000000026e-05,
q3_btree,vanilla,btree,q3,c3,3,2,mi_col_walk,query,3,0.001347,5.000000000000013e-06,
q3_btree,vanilla,btree,q3,c3,4,2,base_hash_join,query,3,0.0005424,3.000000000000615e-07,
q3_lsm,vanilla,lsm,q3,c0,1,2,base_merge_join,query,3,0.06405,0.0016999999999999932,
q3_lsm,vanilla,lsm,q3,c0,2,2,pipeline_view,query,3,0.07671,0.008715,
q3_lsm,vanilla,lsm,q3,c0,3,2,mi_col_walk,query,3,0.08942,0.002354999999999996,
q3_lsm,vanilla,lsm,q3,c0,4,2,base_hash_join,query,3,0.005153,0.0007700000000000007,
q3_lsm,vanilla,lsm,q3,c1,1,2,base_merge_join,query,3,0.1681,0.003500000000000003,
q3_lsm,vanilla,lsm,q3,c1,2,2,pipeline_view,query,3,0.2402,0.014249999999999985,
q3_lsm,vanilla,lsm,q3,c1,3,2,mi_col_walk,query,3,0.1794,0.03394999999999998,
q3_lsm,vanilla,lsm,q3,c1,4,2,base_hash_join,query,3,0.01763,0.000615000000000001,
q3_lsm,vanilla,lsm,q3,c3,1,2,base_merge_join,query,3,0.06728,0.005914999999999997,
q3_lsm,vanilla,lsm,q3,c3,2,2,pipeline_view,query,3,0.08612,0.007534999999999986,
q3_lsm,vanilla,lsm,q3,c3,3,2,mi_col_walk,query,3,0.09686,0.011874999999999997,
q3_lsm,vanilla,lsm,q3,c3,4,2,base_hash_join,query,3,0.005321,0.0010109999999999997,
q3i_btree,tpchi,btree,q3i,c1,1,2,base_merge_join,query,3,0.002005,5.600000000000006e-05,
q3i_btree,tpchi,btree,q3i,c1,2,2,pipeline_view,query,3,0.003225,1.1499999999999792e-05,
