binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,sst_read_us_per_tx,sst_write_us_per_tx,sst_compaction_us,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss,disk
q3_btree,vanilla,btree,q3,c0,1550,1.0,1,base_merge_join,query,2,1,0.02707,,,36941.26339120798,4282.67,ae9fb9dc,14306121394.395,10283608613.904999,194779390.36,12482954.54,29823074.19,0.195,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,2,pipeline_view,query,2,1,0.03979,,,25131.942699170646,4516.3,ae9fb9dc,8583735498.190001,6228184990.715,127582044.84,7243866.225,18079433.935,0.195,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,3,mi_col_walk,query,2,1,0.03744,,,26709.401709401707,4383.06,ae9fb9dc,9093086363.525,6710527496.73,135703594.295,3258884.24,18406485.79,0.185,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,4,base_hash_join,query,2,1,0.01553,,,64391.5003219575,3397.3,ae9fb9dc,20443517800.66,14267688534.525,323888306.57500005,13104966.184999999,44187627.3,0.19,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,1,base_merge_join,query,2,2,0.02784,,,35919.54022988506,4282.67,ae9fb9dc,14233953846.369999,10275483746.14,192255340.44,11971368.030000001,29388729.259999998,0.20500000000000002,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,2,pipeline_view,query,2,2,0.03972,,,25176.233635448138,4516.3,ae9fb9dc,8633080467.224998,6237415543.08,125296781.58,7275396.52,18008046.744999997,0.195,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,3,mi_col_walk,query,2,2,0.03966,,,25214.321734745336,4383.06,ae9fb9dc,9694117131.974998,6711717752.860001,140002163.22,1801979.3499999999,18499050.78,0.19,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,4,base_hash_join,query,2,2,0.01527,,,65487.88474132285,3397.3,ae9fb9dc,22061105085.35,14324596666.59,333684696.155,22055154.049999997,44747094.115,0.19,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,1,base_merge_join,query,2,3,0.02801,,,35701.53516601214,4282.67,ae9fb9dc,14069588513.93,10229069831.345001,197203204.62,12113489.11,29235293.235,0.195,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,2,pipeline_view,query,2,3,0.03806,,,26274.30373095113,4516.3,ae9fb9dc,8715977213.89,6236000389.325001,124686041.945,7388842.415,18187468.335,0.185,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
