binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,disk
q3_btree,vanilla,btree,q3,c0,1550,1.0,1,base_merge_join,query,2,1,0.02707,,,36941.26339120798,4282.67,ae9fb9dc,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,2,pipeline_view,query,2,1,0.03979,,,25131.942699170646,4516.3,ae9fb9dc,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,3,mi_col_walk,query,2,1,0.03744,,,26709.401709401707,4383.06,ae9fb9dc,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,4,base_hash_join,query,2,1,0.01553,,,64391.5003219575,3397.3,ae9fb9dc,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,1,base_merge_join,query,2,2,0.02784,,,35919.54022988506,4282.67,ae9fb9dc,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,2,pipeline_view,query,2,2,0.03972,,,25176.233635448138,4516.3,ae9fb9dc,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,3,mi_col_walk,query,2,2,0.03966,,,25214.321734745336,4383.06,ae9fb9dc,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,4,base_hash_join,query,2,2,0.01527,,,65487.88474132285,3397.3,ae9fb9dc,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,1,base_merge_join,query,2,3,0.02801,,,35701.53516601214,4282.67,ae9fb9dc,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,2,pipeline_view,query,2,3,0.03806,,,26274.30373095113,4516.3,ae9fb9dc,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,3,mi_col_walk,query,2,3,0.04006,,,24962.556165751375,4383.06,ae9fb9dc,ssd
q3_btree,vanilla,btree,q3,c0,1550,1.0,4,base_hash_join,query,2,3,0.01532,,,65274.15143603133,3397.3,ae9fb9dc,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,1,base_merge_join,query,2,1,0.08813,,,11346.873936230568,3818.5,ae9fb9dc,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,2,pipeline_view,query,2,1,0.1507,,,6635.700066357001,3759.19,ae9fb9dc,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,3,mi_col_walk,query,2,1,0.1387,,,7209.805335255948,3903.77,ae9fb9dc,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,4,base_hash_join,query,2,1,0.01686,,,59311.98102016607,3115.58,ae9fb9dc,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,1,base_merge_join,query,2,2,0.08554,,,11690.437222352115,3818.5,ae9fb9dc,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,2,pipeline_view,query,2,2,0.1475,,,6779.661016949153,3759.19,ae9fb9dc,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,3,mi_col_walk,query,2,2,0.1143,,,8748.906386701663,3903.77,ae9fb9dc,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,4,base_hash_join,query,2,2,0.01707,,,58582.308142940834,3115.58,ae9fb9dc,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,1,base_merge_join,query,2,3,0.08727,,,11458.691417440128,3818.5,ae9fb9dc,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,2,pipeline_view,query,2,3,0.1112,,,8992.805755395684,3759.19,ae9fb9dc,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,3,mi_col_walk,query,2,3,0.1123,,,8904.719501335709,3903.77,ae9fb9dc,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,4,base_hash_join,query,2,3,0.01706,,,58616.647127784294,3115.58,ae9fb9dc,ssd
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,1,base_merge_join,query,2,1,0.02029,,,49285.36224741252,6241.15,ae9fb9dc,ssd
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,2,pipeline_view,query,2,1,0.03758,,,26609.898882384245,6315.7,ae9fb9dc,ssd
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,3,mi_coli_walk,query,2,1,0.0347,,,28818.44380403458,6362.41,ae9fb9dc,ssd
