binary,family,backend,query,cell,structure,bg,method,tx,n,tx_per_s_median,tx_per_s_iqr,bg_tx_count_median,disk
q3_btree,vanilla,btree,q3,c0,1,2,base_merge_join,query,3,0.02784,0.0004699999999999982,,ssd
q3_btree,vanilla,btree,q3,c0,2,2,pipeline_view,query,3,0.03972,0.0008650000000000047,,ssd
q3_btree,vanilla,btree,q3,c0,3,2,mi_col_walk,query,3,0.03966,0.0013099999999999987,,ssd
q3_btree,vanilla,btree,q3,c0,4,2,base_hash_join,query,3,0.01532,0.00013000000000000164,,ssd
q3_lsm,vanilla,lsm,q3,c0,1,2,base_merge_join,query,3,0.08727,0.0012949999999999906,,ssd
q3_lsm,vanilla,lsm,q3,c0,2,2,pipeline_view,query,3,0.1475,0.019750000000000018,,ssd
q3_lsm,vanilla,lsm,q3,c0,3,2,mi_col_walk,query,3,0.1143,0.013200000000000003,,ssd
q3_lsm,vanilla,lsm,q3,c0,4,2,base_hash_join,query,3,0.01706,0.00010499999999999746,,ssd
q3i_btree,tpchi,btree,q3i,c0,1,2,base_merge_join,query,3,0.02104,0.0004049999999999991,,ssd
q3i_btree,tpchi,btree,q3i,c0,2,2,pipeline_view,query,3,0.03758,0.0010700000000000015,,ssd
q3i_btree,tpchi,btree,q3i,c0,3,2,mi_coli_walk,query,3,0.0347,7.999999999999674e-05,,ssd
q3i_btree,tpchi,btree,q3i,c0,4,2,base_hash_join,query,3,0.007615,1.4500000000000624e-05,,ssd
q3i_lsm,tpchi,lsm,q3i,c0,1,2,base_merge_join,query,3,0.05982,0.0009600000000000025,,ssd
q3i_lsm,tpchi,lsm,q3i,c0,2,2,pipeline_view,query,3,0.1172,0.002799999999999997,,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3,2,mi_coli_walk,query,3,0.08732,0.0037349999999999883,,ssd
q3i_lsm,tpchi,lsm,q3i,c0,4,2,base_hash_join,query,3,0.009222,0.0001565000000000004,,ssd
q5_btree,vanilla,btree,q5,c0,1,2,base_merge_join,query,3,0.02987,0.000675000000000002,,ssd
q5_btree,vanilla,btree,q5,c0,2,2,pipeline_view,query,3,0.0377,0.000675000000000002,,ssd
q5_btree,vanilla,btree,q5,c0,3,2,mi_col_walk,query,3,0.04079,0.00014000000000000123,,ssd
q5_btree,vanilla,btree,q5,c0,4,2,base_hash_join,query,3,0.008814,6.250000000000006e-05,,ssd
q5_lsm,vanilla,lsm,q5,c0,1,2,base_merge_join,query,3,0.08061,0.0009650000000000075,,ssd
q5_lsm,vanilla,lsm,q5,c0,2,2,pipeline_view,query,3,0.1028,0.011349999999999999,,ssd
q5_lsm,vanilla,lsm,q5,c0,3,2,mi_col_walk,query,3,0.1252,0.00360000000000002,,ssd
q5_lsm,vanilla,lsm,q5,c0,4,2,base_hash_join,query,3,0.01368,0.00013000000000000164,,ssd
q5i_btree,tpchi,btree,q5i,c0,1,2,base_merge_join,query,3,0.02987,0.0006050000000000014,,ssd
q5i_btree,tpchi,btree,q5i,c0,2,2,pipeline_view,query,3,0.03743,0.00011500000000000399,,ssd
q5i_btree,tpchi,btree,q5i,c0,3,2,mi_coli_walk,query,3,0.03754,0.0002500000000000002,,ssd
q5i_btree,tpchi,btree,q5i,c0,4,2,base_hash_join,query,3,0.007481,9.900000000000013e-05,,ssd
q5i_lsm,tpchi,lsm,q5i,c0,1,2,base_merge_join,query,3,0.07102,0.0018600000000000005,,ssd
q5i_lsm,tpchi,lsm,q5i,c0,2,2,pipeline_view,query,3,0.1599,0.0046499999999999875,,ssd
q5i_lsm,tpchi,lsm,q5i,c0,3,2,mi_coli_walk,query,3,0.08716,0.0032900000000000013,,ssd
q5i_lsm,tpchi,lsm,q5i,c0,4,2,base_hash_join,query,3,0.008963,0.00012799999999999964,,ssd
