binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,sst_read_us_per_tx,sst_write_us_per_tx,sst_compaction_us,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss
q10_btree,vanilla,btree,q10,c0,1550,1.0,1,base_merge_join,query,2,0,0.03946107224414723,1,,25341.43,4287.31,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c0,1550,1.0,2,pipeline_view,query,2,0,0.005396068748074277,1,,185320.1,10104.45,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c0,1550,1.0,3,mi_col_walk,query,2,0,0.039005789239238885,1,,25637.22,4386.27,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c0,1550,1.0,4,base_hash_join,query,2,0,0.009231025995307684,1,,108330.32,3402.03,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c0,1550,1.0,5,mi_acol_preagg,query,2,0,3.181774793980082,78,,314.29,3514.77,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c0,1550,1.0,7,preagg_view,query,2,0,0.03718955553646491,1,,26889.270000000004,3892.57,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c0,1550,1.0,1,base_merge_join,query,2,1,0.04177674839869724,1,,23936.76,4287.31,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c0,1550,1.0,2,pipeline_view,query,2,1,0.005482183533965718,1,,182409.07,10104.45,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c0,1550,1.0,3,mi_col_walk,query,2,1,0.039286741353381095,1,,25453.88,4500.35,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c0,1550,1.0,4,base_hash_join,query,2,1,0.00931846689973395,1,,107313.78999999998,3402.03,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c0,1550,1.0,5,mi_acol_preagg,query,2,1,3.4547087680508537,84,,289.46,4500.35,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c0,1550,1.0,7,preagg_view,query,2,1,0.03648559111035869,1,,27408.080000000005,3892.57,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c0,1550,1.0,1,base_merge_join,query,2,2,0.04106676676006618,1,,24350.59,4287.31,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c0,1550,1.0,2,pipeline_view,query,2,2,0.005479556841936319,1,,182496.51,10104.45,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
