binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha
q10_btree,vanilla,btree,q10,c0,1550,1.0,1,base_merge_join,query,2,0,0.03946,,,25342.118601115053,11.19,5f30442f
q10_btree,vanilla,btree,q10,c0,1550,1.0,2,pipeline_view,query,2,0,0.005347,,,187020.75930428278,1.3,5f30442f
q10_btree,vanilla,btree,q10,c0,1550,1.0,3,mi_col_walk,query,2,0,0.03901,,,25634.45270443476,10.56,5f30442f
q10_btree,vanilla,btree,q10,c0,1550,1.0,4,base_hash_join,query,2,0,0.009231,,,108330.62506770664,2.55,5f30442f
q10_btree,vanilla,btree,q10,c0,1550,1.0,5,mi_acol_preagg,query,2,0,3.18,,,314.4654088050314,9.6,5f30442f
q10_btree,vanilla,btree,q10,c0,1550,1.0,7,preagg_view,query,2,0,0.03719,,,26888.948642108095,8.24,5f30442f
q10_lsm,vanilla,lsm,q10,c0,3850,1.0,1,base_merge_join,query,2,0,0.07304,,,13691.128148959475,41.79,5f30442f
q10_lsm,vanilla,lsm,q10,c0,3850,1.0,2,pipeline_view,query,2,0,0.04401,,,22722.108611679163,73.97,5f30442f
q10_lsm,vanilla,lsm,q10,c0,3850,1.0,3,mi_col_walk,query,2,0,0.08423,,,11872.254541137361,68.27,5f30442f
q10_lsm,vanilla,lsm,q10,c0,3850,1.0,4,base_hash_join,query,2,0,0.01075,,,93023.2558139535,40.83,5f30442f
q10_lsm,vanilla,lsm,q10,c0,3850,1.0,5,mi_acol_preagg,query,2,0,0.3374,,,2963.841138114997,43.39,5f30442f
q10_lsm,vanilla,lsm,q10,c0,3850,1.0,7,preagg_view,query,2,0,0.3025,,,3305.785123966942,50.06,5f30442f
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,1,base_merge_join,query,2,0,0.02979,,,33568.31151393085,7.03,5f30442f
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,2,pipeline_view,query,2,0,0.005536,,,180635.83815028903,1.25,5f30442f
