binary,family,backend,query,cell,structure,bg,method,tx,n,tx_per_s_median,tx_per_s_iqr,bg_tx_count_median
q10_btree,vanilla,btree,q10,c0,1,2,base_merge_join,query,1,0.03946,0.0,
q10_btree,vanilla,btree,q10,c0,2,2,pipeline_view,query,1,0.005347,0.0,
q10_btree,vanilla,btree,q10,c0,3,2,mi_col_walk,query,1,0.03901,0.0,
q10_btree,vanilla,btree,q10,c0,4,2,base_hash_join,query,1,0.009231,0.0,
q10_btree,vanilla,btree,q10,c0,5,2,mi_acol_preagg,query,1,3.18,0.0,
q10_btree,vanilla,btree,q10,c0,7,2,preagg_view,query,1,0.03719,0.0,
q10_lsm,vanilla,lsm,q10,c0,1,2,base_merge_join,query,1,0.07304,0.0,
q10_lsm,vanilla,lsm,q10,c0,2,2,pipeline_view,query,1,0.04401,0.0,
q10_lsm,vanilla,lsm,q10,c0,3,2,mi_col_walk,query,1,0.08423,0.0,
q10_lsm,vanilla,lsm,q10,c0,4,2,base_hash_join,query,1,0.01075,0.0,
q10_lsm,vanilla,lsm,q10,c0,5,2,mi_acol_preagg,query,1,0.3374,0.0,
q10_lsm,vanilla,lsm,q10,c0,7,2,preagg_view,query,1,0.3025,0.0,
q10i_btree,tpchi,btree,q10i,c0,1,2,base_merge_join,query,1,0.02979,0.0,
q10i_btree,tpchi,btree,q10i,c0,2,2,pipeline_view,query,1,0.005536,0.0,
q10i_btree,tpchi,btree,q10i,c0,3,2,mi_coli_walk,query,1,0.03339,0.0,
q10i_btree,tpchi,btree,q10i,c0,4,2,base_hash_join,query,1,0.007832,0.0,
q10i_btree,tpchi,btree,q10i,c0,5,2,mi_acoli_preagg,query,1,2.58,0.0,
q10i_btree,tpchi,btree,q10i,c0,7,2,preagg_view,query,1,0.03548,0.0,
q10i_lsm,tpchi,lsm,q10i,c0,1,2,base_merge_join,query,1,0.04365,0.0,
q10i_lsm,tpchi,lsm,q10i,c0,2,2,pipeline_view,query,1,0.04256,0.0,
q10i_lsm,tpchi,lsm,q10i,c0,3,2,mi_coli_walk,query,1,0.06303,0.0,
q10i_lsm,tpchi,lsm,q10i,c0,4,2,base_hash_join,query,1,0.006764,0.0,
q10i_lsm,tpchi,lsm,q10i,c0,5,2,mi_acoli_preagg,query,1,0.4137,0.0,
q10i_lsm,tpchi,lsm,q10i,c0,7,2,preagg_view,query,1,0.2674,0.0,
q3_btree,vanilla,btree,q3,c0,1,2,base_merge_join,query,1,0.03112,0.0,
q3_btree,vanilla,btree,q3,c0,2,2,pipeline_view,query,1,0.004968,0.0,
q3_btree,vanilla,btree,q3,c0,3,2,mi_col_walk,query,1,0.03797,0.0,
q3_btree,vanilla,btree,q3,c0,4,2,base_hash_join,query,1,0.009192,0.0,
q3_lsm,vanilla,lsm,q3,c0,1,2,base_merge_join,query,1,0.07491,0.0,
q3_lsm,vanilla,lsm,q3,c0,2,2,pipeline_view,query,1,0.08969,0.0,
q3_lsm,vanilla,lsm,q3,c0,3,2,mi_col_walk,query,1,0.08823,0.0,
q3_lsm,vanilla,lsm,q3,c0,4,2,base_hash_join,query,1,0.01081,0.0,
q3i_btree,tpchi,btree,q3i,c0,1,2,base_merge_join,query,1,0.02753,0.0,
q3i_btree,tpchi,btree,q3i,c0,2,2,pipeline_view,query,1,0.005131,0.0,
q3i_btree,tpchi,btree,q3i,c0,3,2,mi_coli_walk,query,1,0.03386,0.0,
q3i_btree,tpchi,btree,q3i,c0,4,2,base_hash_join,query,1,0.005605,0.0,
q3i_lsm,tpchi,lsm,q3i,c0,1,2,base_merge_join,query,1,0.04575,0.0,
q3i_lsm,tpchi,lsm,q3i,c0,2,2,pipeline_view,query,1,0.08645,0.0,
q3i_lsm,tpchi,lsm,q3i,c0,3,2,mi_coli_walk,query,1,0.07703,0.0,
q3i_lsm,tpchi,lsm,q3i,c0,4,2,base_hash_join,query,1,0.006937,0.0,
q5_btree,vanilla,btree,q5,c0,1,2,base_merge_join,query,1,0.04109,0.0,
q5_btree,vanilla,btree,q5,c0,2,2,pipeline_view,query,1,0.005587,0.0,
q5_btree,vanilla,btree,q5,c0,3,2,mi_col_walk,query,1,0.03663,0.0,
q5_btree,vanilla,btree,q5,c0,4,2,base_hash_join,query,1,0.00885,0.0,
q5_lsm,vanilla,lsm,q5,c0,1,2,base_merge_join,query,1,0.07382,0.0,
q5_lsm,vanilla,lsm,q5,c0,2,2,pipeline_view,query,1,0.09067,0.0,
q5_lsm,vanilla,lsm,q5,c0,3,2,mi_col_walk,query,1,0.07987,0.0,
q5_lsm,vanilla,lsm,q5,c0,4,2,base_hash_join,query,1,0.01038,0.0,
q5i_btree,tpchi,btree,q5i,c0,1,2,base_merge_join,query,1,0.02917,0.0,
q5i_btree,tpchi,btree,q5i,c0,2,2,pipeline_view,query,1,0.005422,0.0,
q5i_btree,tpchi,btree,q5i,c0,3,2,mi_coli_walk,query,1,0.03432,0.0,
q5i_btree,tpchi,btree,q5i,c0,4,2,base_hash_join,query,1,0.007681,0.0,
q5i_lsm,tpchi,lsm,q5i,c0,1,2,base_merge_join,query,1,0.04317,0.0,
q5i_lsm,tpchi,lsm,q5i,c0,2,2,pipeline_view,query,1,0.08837,0.0,
q5i_lsm,tpchi,lsm,q5i,c0,3,2,mi_coli_walk,query,1,0.07504,0.0,
q5i_lsm,tpchi,lsm,q5i,c0,4,2,base_hash_join,query,1,0.00677,0.0,
