binary,cell,bg,rep,tx,s2_method,s3_method,s2_tx_per_s,s3_tx_per_s,ratio,s2_cpu_cycles_per_tx,s3_cpu_cycles_per_tx,s2_cpu_llc_miss_per_tx,s3_cpu_llc_miss_per_tx,s2_bm_p2_pct,s3_bm_p2_pct,attribution_hint
q3_lsm,c4,2,0,query,pipeline_view,mi_col_walk,0.036541921074566344,0.030987381938074814,0.847995426262426,,,,,,,
q3_lsm,c4,2,1,query,pipeline_view,mi_col_walk,0.0356430505318656,0.03030415982171457,0.850212295791631,,,,,,,
q3_lsm,c4,2,4,query,pipeline_view,mi_col_walk,0.03574652141663465,0.029623134483105926,0.8286997813812674,,,,,,,
q3i_btree,c4,2,0,query,pipeline_view,mi_coli_walk,0.012115914896359856,0.009189843605403555,0.7584935751046403,,,,,,,
q3i_lsm,c4,2,0,query,pipeline_view,mi_coli_walk,0.03446015751048795,0.021973781762552193,0.6376576124431373,,,,,,,
q3i_lsm,c4,2,1,query,pipeline_view,mi_coli_walk,0.035505425051420736,0.021717464902947906,0.6116661009267058,,,,,,,
q3i_lsm,c4,2,2,query,pipeline_view,mi_coli_walk,0.034252323163818585,0.02056053783077279,0.6002669580231947,,,,,,,
q3i_lsm,c4,2,3,query,pipeline_view,mi_coli_walk,0.034248921158983495,0.021228939034945167,0.6198425619423289,,,,,,,
q3i_lsm,c4,2,4,query,pipeline_view,mi_coli_walk,0.03839243208378765,0.021931012491246786,0.5712326961570068,,,,,,,
q5_lsm,c4,2,1,query,pipeline_view,mi_col_walk,0.03372035306558474,0.029985367140835273,0.8892364526111257,,,,,,,
q5_lsm,c4,2,2,query,pipeline_view,mi_col_walk,0.03435015517682601,0.031168610964618638,0.9073790439714295,,,,,,,
q5i_lsm,c4,2,0,query,pipeline_view,mi_coli_walk,0.03353250523693901,0.021898734121775357,0.6530598882201015,,,,,,,
q5i_lsm,c4,2,1,query,pipeline_view,mi_coli_walk,0.03393147741724452,0.021140594253648233,0.6230378357443477,,,,,,,
q5i_lsm,c4,2,2,query,pipeline_view,mi_coli_walk,0.03344480486795824,0.02071872425698511,0.6194900624710973,,,,,,,
q5i_lsm,c4,2,3,query,pipeline_view,mi_coli_walk,0.034883303141834465,0.020661481461279146,0.5923028956653039,,,,,,,
q5i_lsm,c4,2,4,query,pipeline_view,mi_coli_walk,0.035637042424829894,0.022000254322939974,0.6173423164771785,,,,,,,
