binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,disk
q10_btree,vanilla,btree,q10,c0,1550,1.0,1,base_merge_join,query,2,1,0.0500,1,2,19471.4800,4291.15,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,1,base_merge_join,query,2,2,0.0500,1,2,19915.7300,4291.15,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,1,base_merge_join,query,2,3,0.0500,1,2,19811.0000,4291.15,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,2,pipeline_view,query,2,1,0.0100,1,2,183664.1600,8629.66,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,2,pipeline_view,query,2,2,0.0100,1,2,187198.4300,8629.66,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,2,pipeline_view,query,2,3,0.0100,1,2,188711.0600,8629.66,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,2,pipeline_view_preagg,query,2,1,0.0600,1,2,17561.6300,3894.89,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,2,pipeline_view_preagg,query,2,2,0.0500,1,2,18244.9000,3894.89,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,2,pipeline_view_preagg,query,2,3,0.0600,1,2,18061.6200,3894.89,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,3,mi_col_walk,query,2,1,0.0300,1,2,36469.1700,4389.94,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,3,mi_col_walk,query,2,2,0.0300,1,2,36324.2000,4389.94,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,3,mi_col_walk,query,2,3,0.0300,1,2,36648.6700,4389.94,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,4,base_hash_join,query,2,1,0.0100,1,2,131297.1900,3403.49,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,4,base_hash_join,query,2,2,0.0100,1,2,129946.8900,3403.49,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,4,base_hash_join,query,2,3,0.0100,1,2,132167.6800,3403.49,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,5,mi_acol_preagg,query,2,1,5.3000,80,56614,188.6700,3517.56,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,5,mi_acol_preagg,query,2,2,5.5500,84,55811,180.2400,3517.56,9483d7c9,ssd
q10_btree,vanilla,btree,q10,c0,1550,1.0,5,mi_acol_preagg,query,2,3,5.6500,85,56605,176.8800,3517.56,9483d7c9,ssd
q10_lsm,vanilla,lsm,q10,c0,3850,1.0,1,base_merge_join,query,2,1,0.0600,1,2,17911.2400,3841.79,9483d7c9,ssd
q10_lsm,vanilla,lsm,q10,c0,3850,1.0,1,base_merge_join,query,2,2,0.0500,1,2,18532.6600,3841.79,9483d7c9,ssd
q10_lsm,vanilla,lsm,q10,c0,3850,1.0,1,base_merge_join,query,2,3,0.0600,1,2,17899.0500,3841.79,9483d7c9,ssd
q10_lsm,vanilla,lsm,q10,c0,3850,1.0,2,pipeline_view,query,2,1,0.0500,1,2,19427.2300,4296.48,9483d7c9,ssd
